# Daily weather, Berlin-Tempelhof, grid point 52.47 N 13.40 E (Open-Meteo Historical Weather API, ERA5 / ERA5-Land reanalysis),
#   https://archive-api.open-meteo.com/v1/archive?latitude=52.47&longitude=13.40&daily=temperature_2m_max,precipitation_sum&timezone=Europe%2FBerlin,
#   CC BY 4.0 (Open-Meteo, Copernicus ERA5), retrieved 2026-09-25.
# tmax = daily maximum temperature 2 m in deg C, prcp = daily precipitation sum in mm.
# Gridded reanalysis, not a station series such as the Tempelhof (Meteostat) files of the VSP Berlin production scenario.
# Mean per calendar day over 1996-2025 (data up to 2025-08-31). EpisimUtils uses it for the days after the
# last date of berlin-weather-2025-26.csv; monthDay is month-day without leading zeros, as EpisimUtils expects.
monthDay,tmax,prcp
1-1,3.97,0.88
1-2,4.02,1.97
1-3,3.36,2.44
1-4,3.10,2.06
1-5,2.52,2.15
1-6,2.67,1.93
1-7,3.48,1.89
1-8,3.09,2.05
1-9,3.61,2.74
1-10,3.83,1.24
1-11,2.96,1.58
1-12,3.58,1.39
1-13,3.69,1.62
1-14,3.82,1.22
1-15,3.64,0.96
1-16,3.46,1.10
1-17,3.66,1.49
1-18,3.18,2.21
1-19,3.06,1.89
1-20,3.46,2.37
1-21,2.43,2.09
1-22,1.79,1.13
1-23,1.10,0.92
1-24,1.66,1.13
1-25,1.93,0.59
1-26,1.85,1.39
1-27,2.97,1.68
1-28,3.45,1.77
1-29,3.28,1.59
1-30,3.73,1.78
1-31,3.35,1.43
2-1,3.56,1.32
2-2,3.62,1.55
2-3,4.30,1.76
2-4,4.45,1.22
2-5,4.11,1.41
2-6,4.26,1.30
2-7,4.21,1.40
2-8,3.83,1.58
2-9,4.17,1.80
2-10,4.21,1.95
2-11,4.14,1.94
2-12,4.41,1.28
2-13,4.49,1.16
2-14,4.27,0.58
2-15,4.89,1.02
2-16,5.69,1.34
2-17,5.25,1.89
2-18,5.37,1.37
2-19,5.02,1.51
2-20,5.51,1.29
2-21,6.16,1.68
2-22,5.98,2.40
2-23,5.57,1.98
2-24,6.48,1.01
2-25,6.81,1.46
2-26,6.67,1.84
2-27,6.51,0.52
2-28,6.57,1.06
2-29,7.54,1.31
3-1,6.38,1.94
3-2,6.67,1.37
3-3,6.48,1.27
3-4,7.16,0.81
3-5,6.98,0.54
3-6,6.40,1.28
3-7,7.30,1.50
3-8,7.90,0.92
