# Daily weather, Cologne grid point 50.94 N 6.96 E (Open-Meteo Historical Weather API, ERA5 / ERA5-Land reanalysis),
#   https://archive-api.open-meteo.com/v1/archive?latitude=50.94&longitude=6.96&daily=temperature_2m_max,precipitation_sum&timezone=Europe%2FBerlin,
#   CC BY 4.0 (Open-Meteo, Copernicus ERA5), retrieved 2026-09-25.
# tmax = daily maximum temperature 2 m in deg C, prcp = daily precipitation sum in mm.
# Gridded reanalysis, not a station series such as the Koeln-Bonn station.
# Mean per calendar day over 1996-2025 (data up to 2025-08-31). EpisimUtils uses it for the days after the
# last date of cologne-weather-2025-26.csv; monthDay is month-day without leading zeros, as EpisimUtils expects.
monthDay,tmax,prcp
1-1,5.81,2.65
1-2,5.85,4.51
1-3,5.50,3.50
1-4,5.34,3.38
1-5,5.46,3.55
1-6,5.38,2.87
1-7,5.74,2.28
1-8,5.38,2.84
1-9,5.42,3.02
1-10,5.33,1.76
1-11,5.34,2.23
1-12,5.37,2.59
1-13,5.87,3.41
1-14,5.43,1.92
1-15,4.95,1.52
1-16,5.32,1.89
1-17,4.97,2.12
1-18,5.18,3.11
1-19,5.07,3.83
1-20,4.90,3.00
1-21,4.66,2.49
1-22,4.95,2.26
1-23,4.67,2.40
1-24,4.42,2.35
1-25,4.18,2.00
1-26,4.53,2.13
1-27,4.99,3.25
1-28,5.52,3.02
1-29,5.61,3.06
1-30,5.50,3.29
1-31,5.13,2.12
2-1,5.35,2.67
2-2,5.85,3.36
2-3,6.21,2.39
2-4,6.24,2.13
2-5,6.64,2.74
2-6,6.55,2.11
2-7,5.94,2.83
2-8,6.28,3.07
2-9,6.37,1.95
2-10,6.36,3.99
2-11,6.28,2.89
2-12,6.35,3.87
2-13,6.33,3.11
2-14,6.46,1.44
2-15,7.19,1.70
2-16,7.87,2.48
2-17,7.19,1.64
2-18,7.15,2.35
2-19,7.03,2.30
2-20,7.86,3.08
2-21,7.95,2.62
2-22,7.95,2.87
2-23,8.09,2.80
2-24,8.02,2.19
2-25,8.32,3.11
2-26,7.87,2.79
2-27,7.79,2.86
2-28,8.11,1.85
2-29,8.31,1.03
3-1,7.71,3.47
3-2,8.44,2.70
3-3,8.26,2.41
3-4,8.68,2.24
3-5,7.84,2.37
3-6,8.04,2.81
3-7,8.94,2.36
3-8,9.76,3.55
3-9,10.37,2.54
3-10,10.59,2.76
3-11,9.27,3.10
3-12,9.99,1.57
3-13,9.91,1.70
3-14,9.97,2.14
3-15,10.61,1.82
3-16,11.50,1.71
3-17,11.22,0.74
3-18,11.22,2.28
3-19,10.52,1.67
3-20,10.42,1.97
3-21,10.62,2.82
3-22,10.58,1.91
3-23,10.92,2.55
3-24,11.65,1.37
3-25,11.48,2.14
3-26,11.30,2.52
3-27,11.71,1.71
3-28,12.46,1.86
3-29,12.79,2.41
3-30,13.90,1.83
3-31,13.24,2.66
4-1,13.22,2.16
4-2,13.65,1.58
4-3,13.31,1.85
4-4,12.44,1.80
4-5,11.70,2.26
4-6,12.83,1.56
4-7,12.95,2.46
4-8,12.63,1.14
4-9,13.46,0.95
4-10,13.47,1.42
4-11,13.50,1.58
4-12,13.77,1.87
4-13,13.12,1.55
4-14,13.67,1.83
4-15,14.50,2.66
4-16,14.26,2.39
4-17,14.22,2.30
4-18,14.24,1.42
4-19,14.05,1.72
4-20,15.43,1.04
4-21,16.46,1.03
4-22,16.21,0.77
4-23,16.20,1.09
4-24,16.46,2.23
4-25,16.52,2.15
4-26,15.99,3.27
